id,name,location,number,time,image,created_at,updated_at
1,이백,서울특별시 강남구 역삼동 720-22,02-564-0206,오전11시 30분 = 오후 2시,../2baek.jpg,2017-09-26 08:02:46.044477,2017-09-26 08:17:45.195960
2,현성별당,서울특별시 강남구 역삼동 725-20,02-567-2597,오전 11시 30분 - 오후 2시 30분,../hyunsung.jpg,2017-09-26 08:04:47.388166,2017-09-26 08:04:47.388166
4,소우,,,,../sowoo.jpg,2017-09-26 08:09:52.960462,2017-09-26 08:22:16.684626
5,북촌순두부,서울특별시 강남구 역삼동 721,02-562-4242,점심시간 따로 x,../bookchon.jpg,2017-09-26 08:22:03.886394,2017-09-26 08:22:03.886394
6,양자강,서울특별시 강남구 역삼동 719-9,02-566-8116,오전9시30분 - 오후9시 30분,../yanngja.jpg,2017-09-26 08:23:46.517115,2017-09-26 08:23:46.517115
7,고갯마루,서울특별시 강남구 역삼동 725-12,02-3476-7006,오전11시 - 오후 11시,../gogaemaru.jpg,2017-09-26 08:25:03.060380,2017-09-26 08:25:03.060380
8,시골집,서울특별시 강남구 역삼동 723,02-501-0582,오전11시 - 오후 12시,../sigoal.jpg,2017-09-26 08:26:45.327219,2017-09-26 08:26:45.327219
9,순남시래기,서울특별시 강남구 역삼동 719-8,02-508-0887,오전11시 - 새벽 1시,../siraeki.jpg,2017-09-26 08:28:39.498052,2017-09-26 08:28:39.498052
10,피쉬월드,서울특별시 강남구 역삼동 721-11,02-565-2628,무관,../fish.jpg,2017-09-26 08:29:00.000000,2017-10-17 04:03:00.000000
11,촌빨,서울 강남구 역삼동 721-3,02-3444-5858,매일 10:00~05:00,../chonbbal.jpg,2017-10-18 03:48:00.000000,2017-10-18 03:48:00.000000
12,마포만두역삼직영점,서울특별시 강남구 역삼동 738-9 C and C 빌딩,02-538-9842,매일 00:00 - 24:00,../mandoo.jpg,2017-10-18 03:49:00.000000,2017-10-18 03:49:00.000000
13,유연카레역삼점,서울 강남구 역삼동 730-14,02-566-9441,매일 10:30 - 20:30,../u-yeon.jpg,2017-10-18 03:49:48.012272,2017-10-18 03:49:48.012272
14,사량도회,서울특별시 강남구 역삼동 733-18,02-553-8082,매일 10:00 - 23:00,../sado.jpg,2017-10-18 03:50:00.000000,2017-10-18 07:08:44.973100
15,쌀고집,서울특별시 강남구 역삼동 738-48,02-553-0357,매일 11:00 - 23:00,../ssal.jpg,2017-10-18 03:51:00.000000,2017-10-25 03:42:00.000000
16,호타루,서울특별시 강남구 역삼동 644-16,02-501-2656,평일 11:00 - 22:00 브레이크타임 14:00 - 17:00,../hotaru.jpg,2017-10-18 03:52:00.000000,2017-10-18 03:52:00.000000
17,삼다연,서울특별시 강남구 역삼동 725-23,02-552-9283,매일 11:00 - 05:00,../samda.jpg,2017-10-18 03:52:00.000000,2017-10-18 07:08:58.136082
18,종수네 춘천 닭갈비,서울특별시 강남구 역삼동 723-17,02-561-8683,무관,../galbi.jpg,2017-10-18 03:54:00.000000,2017-10-18 03:54:00.000000
19,맥도날드,서울특별시 강남구 역삼동 746 P.M.K 빌딩,070-7017-1465,24시간,../mac.jpg,2017-10-18 04:11:00.000000,2017-10-18 04:11:00.000000
